feature,feature_value,mean_partial_hazard
log_ca_cum_amount,11.547953727032649,1.0650137337724142
log_ca_cum_amount,12.003528679732009,1.0457545618348703
log_ca_cum_amount,12.095047023984014,1.0419278886770098
log_ca_cum_amount,12.131660653754885,1.040400880829522
log_ca_cum_amount,12.19686361819705,1.0376870655744488
log_ca_cum_amount,12.235839726778163,1.0360682209923124
log_ca_cum_amount,12.348016603853159,1.0314231155719549
log_ca_cum_amount,12.401292274028975,1.0292243358921482
log_ca_cum_amount,12.471737911316799,1.0263241168871207
log_ca_cum_amount,12.54212709625261,1.0234343846245075
log_ca_cum_amount,12.643742856304788,1.019277033094837
log_ca_cum_amount,12.774738279223731,1.013942594993331
log_ca_cum_amount,12.86150302978092,1.010424711421634
log_ca_cum_amount,13.010740309951114,1.0044024017946314
log_ca_cum_amount,13.156082935643784,0.9985717597021281
log_ca_cum_amount,13.411005762084228,0.9884267665563095
log_ca_cum_amount,13.668946725283758,0.9782665641389136
log_ca_cum_amount,14.083448532127042,0.9621577923175552
log_ca_cum_amount,14.362691368852051,0.9514553984275536
log_ca_cum_amount,14.466429909600528,0.9475098644131426
log_ca_cum_payout,10.788540054223345,1.0623291783326108
log_ca_cum_payout,11.203084806940504,1.045940612986138
log_ca_cum_payout,11.344760517718766,1.04039778747919
log_ca_cum_payout,11.396520313187434,1.0383801061197295
log_ca_cum_payout,11.45092150027823,1.0362636764478588
log_ca_cum_payout,11.493323405241007,1.0346170600277236
log_ca_cum_payout,11.597235054238007,1.0305928562384936
log_ca_cum_payout,11.669461519703669,1.027804954357135
log_ca_cum_payout,11.686777877870563,1.0271376740270302
log_ca_cum_payout,11.769643937817072,1.0239504489269802
log_ca_cum_payout,11.825490772961741,1.0218080277919117
log_ca_cum_payout,11.992707036283706,1.0154199704786007
log_ca_cum_payout,12.160010785302179,1.009068538651024
log_ca_cum_payout,12.314646424276173,1.0032333675994463
log_ca_cum_payout,12.401555647641572,0.9999686748425631
log_ca_cum_payout,12.637899661917418,0.9911441827584594
log_ca_cum_payout,12.905027868568911,0.9812639997628183
log_ca_cum_payout,13.168801100283694,0.9716045526888886
log_ca_cum_payout,13.664576991350012,0.9537056796495476
log_ca_cum_payout,13.76035620714386,0.9502859802789935
