horizon_days,positive_rate,time_dependent_auc,cumulative_auc,avg_precision,ks_statistic,brier_score,brier_skill_score
30,0.027777777777777776,0.7714285714285715,0.7714285714285715,0.1111111111111111,0.7714285714285715,0.027215580672238338,-0.007754072892025343
90,0.08333333333333333,0.6464646464646465,0.6464646464646465,0.29315476190476186,0.5151515151515151,0.07676381948316506,-0.004908182325070065
180,0.08333333333333333,0.6565656565656565,0.6565656565656565,0.3090277777777778,0.5454545454545454,0.09124831662396539,-0.19452341762281966
360,0.08333333333333333,0.6464646464646465,0.6464646464646465,0.29315476190476186,0.5151515151515151,0.10495113316347442,-0.37390574323093806
